Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude,Total cases
Andaman and Nicobar Islands,12,11,0,2020-04-18,11.7401,92.6586,12
Andhra Pradesh,603,42,15,2020-04-18,15.9129,79.74,603
Arunachal Pradesh,1,0,0,2020-04-18,28.218,94.7278,1
Assam,35,9,1,2020-04-18,26.2006,92.9376,35
Bihar,85,37,2,2020-04-18,25.0961,85.3131,85
Chandigarh,21,9,0,2020-04-18,30.7333,76.7794,21
Chhattisgarh,36,24,0,2020-04-18,21.2787,81.8661,36
Delhi,1707,72,42,2020-04-18,28.7041,77.1025,1707
Goa,7,6,0,2020-04-18,15.2993,74.124,7
Gujarat,1272,88,48,2020-04-18,22.2587,71.1924,1272
Haryana,225,43,3,2020-04-18,29.0588,76.0856,225
Himachal Pradesh,38,16,1,2020-04-18,31.1048,77.1734,38
Jammu and Kashmir,328,42,5,2020-04-18,33.7782,76.5762,328
Jharkhand,33,0,2,2020-04-18,23.6102,85.2799,33
Karnataka,371,92,13,2020-04-18,15.3173,75.7139,371
Kerala,396,255,3,2020-04-18,10.8505,76.2711,396
Ladakh,18,14,0,2020-04-18,34.2996,78.2932,18
Madhya Pradesh,1355,69,69,2020-04-18,22.9734,78.6569,1355
Maharashtra,3323,331,201,2020-04-18,19.7515,75.7139,3323
Manipur,2,1,0,2020-04-18,24.6637,93.9063,2
Meghalaya,11,0,1,2020-04-18,25.467,91.3662,11
Mizoram,1,0,0,2020-04-18,23.1645,92.9376,1
Nagaland#,0,0,0,2020-04-18,26.1584,94.5624,0
Odisha,60,21,1,2020-04-18,20.9517,85.0985,60
Puducherry,7,3,0,2020-04-18,11.9416,79.8083,7
Punjab,202,27,13,2020-04-18,31.1471,75.3412,202
Rajasthan,1229,183,11,2020-04-18,27.0238,74.2179,1229
Tamil Nadu,1323,283,15,2020-04-18,11.1271,78.6569,1323
Telengana,791,186,18,2020-04-18,18.1124,79.0193,791
Tripura,2,1,0,2020-04-18,23.9408,91.9882,2
Uttarakhand,42,9,0,2020-04-18,30.0668,79.0193,42
Uttar Pradesh,969,86,14,2020-04-18,26.8467,80.9462,969
West Bengal,287,55,10,2020-04-18,22.9868,87.855,287
